C1;C2;-1,811;0,5;1,0
C1;C5;0,45222;0,5;1,0
C1;C9;0,65559;0,5;1,0
C2;H2a;-8,8837;0,5;1,0
C2;H2s;36,614;0,5;1,0
C5;H5;28,258;0,5;1,0
C5;C6;-2,5288;0,5;1,0
C6;H6a;27,591;0,5;1,0
C6;H6s;1,3471;0,5;1,0
C6;C7;-0,033473;0,5;1,0
C7;H7;-23,711;0,5;1,0
C7;C8;0,6072;0,5;1,0
C7;C10;0,65062;0,5;1,0
C8;H8a;30,419;0,5;1,0
C8;H8s;-8,7833;0,5;1,0
C8;C9;-2,4176;0,5;1,0
C9;H9a;21,211;0,5;1,0
C9;H9s;-2,175;0,5;1,0
C10;C11;1,1055;0,5;1,0
C10;C12;0,37723;0,5;1,0
H2a;H2s;20,696;0,5;1,0
H2a;H5;0,12363;0,5;1,0
H2a;H9a;1,1035;0,5;1,0
H2a;H9s;-4,8776;0,5;1,0
H2s;H5;2,1451;0,5;1,0
H2s;H9a;2,2706;0,5;1,0
H2s;H9s;0,79452;0,5;1,0
H5;H6a;-11,318;0,5;1,0
H5;H6s;-1,4151;0,5;1,0
H5;H8a;-3,6529;0,5;1,0
H5;H8s;-0,91688;0,5;1,0
H5;H9a;-3,8183;0,5;1,0
H5;H9s;-0,11489;0,5;1,0
H5;H7;-0,86828;0,5;1,0
H6a;H6s;26,007;0,5;1,0
H6a;H7;3,8001;0,5;1,0
H6a;H8a;-2,8044;0,5;1,0
H6a;H8s;-0,40586;0,5;1,0
H6a;H9a;-2,0332;0,5;1,0
H6a;H9s;-0,49067;0,5;1,0
H6s;H7;-3,5404;0,5;1,0
H6s;H8a;0,29655;0,5;1,0
H6s;H8s;-0,47685;0,5;1,0
H6s;H9a;-0,48001;0,5;1,0
H6s;H9s;-0,49572;0,5;1,0
H7;H8a;5,0746;0,5;1,0
H7;H8s;-1,5106;0,5;1,0
H7;H9a;-0,81218;0,5;1,0
H7;H9s;-1,6137;0,5;1,0
H8a;H8s;17,339;0,5;1,0
H8a;H9a;-10,532;0,5;1,0
H8a;H9s;-1,081;0,5;1,0
H8s;H9a;-3,5851;0,5;1,0
H8s;H9s;-10,94;0,5;1,0
H9a;H9s;18,836;0,5;1,0
