C1;H1;15.011;0.844;1.0
#C2;H2;0.085;10.000;0.5
C3;H3;16.372;0.479;1.0
C4;H4a;-3.635;0.198;1.0
C4;H4s;17.620;0.154;1.0
C5;H5;-7.290;0.256;1.0
C7;H7a;-17.759;0.480;1.0
C7;H7s;-1.402;0.777;1.0
C2;C10;0.171;0.349;1.0
C6;C8;-1.516;0.222;1.0
C6;C9;1.348;0.279;1.0
H1;H2;-6.559;0.078;1.0
H1;H3;1.222;0.078;1.0
H1;H4a;0.308;0.078;1.0
H1;H4s;0.941;0.078;1.0
H1;H5;0.561;0.078;1.0
H1;H7a;0.263;0.078;1.0
H1;H7s;0.447;0.078;1.0
H2;H3;4.664;0.078;1.0
H2;H4a;1.111;0.078;1.0
H2;H4s;0.718;0.078;1.0
H2;H7a;-1.778;0.078;1.0
H2;H7s;-1.592;0.078;1.0
H3;H4a;0.918;0.078;1.0
H3;H4s;-2.412;0.078;1.0
H3;H5;-0.661;0.078;1.0
H3;H7a;1.475;0.078;1.0
H3;H7s;0.242;0.078;1.0
H4a;H4s;5.490;0.078;1.0
H4a;H5;-7.627;0.078;1.0
H4a;H7a;6.805;0.088;1.0
H4a;H7s;0.914;0.078;1.0
H4s;H5;0.479;0.078;1.0
H4s;H7a;2.396;0.078;1.0
H4s;H7s;1.326;0.078;1.0
H5;H7a;-1.406;0.078;1.0
H5;H7s;6.400;0.078;1.0
H7a;H7s;-19.522;0.296;1.0
