C1;H1;3.13;0.5;1.0
C2;H2;5.44;0.5;1.0
C2;C10;-1.17;0.5;1.0
C3;H3;-3.49;0.5;1.0
C4;H4a;3.94;0.5;1.0
C4;H4s;1.11;0.5;1.0
C5;H5;-12.98;0.5;1.0
C6;C8;0.73;0.5;1.0
C6;C9;-0.25;0.5;1.0
C7;H7a;11.71;0.5;1.0
C7;H7s;0.84;0.5;1.0
H1;H2;4.13;0.5;1.0
H1;H3;0.50;0.5;1.0
H1;H4a;0.23;0.5;1.0
H1;H4s;0.13;0.5;1.0
H1;H5;-0.68;0.5;1.0
H1;H7a;0.41;0.5;1.0
H1;H7s;-4.19;0.5;1.0
H2;H3;0.27;0.5;1.0
H2;H4a;-0.99;0.5;1.0
H2;H4s;-0.26;0.5;1.0
H2;H7a;-5.84;0.5;1.0
H2;H7s;-0.78;0.5;1.0
H3;H4a;-2.49;0.5;1.0
H3;H4s;-6.24;0.5;1.0
H3;H5;-0.76;0.5;1.0
H3;H7a;-0.37;0.5;1.0
H3;H7s;-0.12;0.5;1.0
H4a;H4s;3.10;0.5;1.0
H4a;H5;3.12;0.5;1.0
H4a;H7a;1.06;0.5;1.0
H4a;H7s;0.90;0.5;1.0
H4s;H5;-0.06;0.5;1.0
H4s;H7a;0.13;0.5;1.0
H4s;H7s;0.20;0.5;1.0
H5;H7a;0.03;0.5;1.0
H5;H7s;0.11;0.5;1.0
H7a;H7s;9.86;0.5;1.0
